name,from,address,square_metre,price,total_price,fellesutg,owner?,type,rooms_amount,visning,link
"Damsgårdssundet - Unik mulighet på bryggekanten! Helt ny 4-roms hjørneleilighet med 2 bad, v.rom, stor balkong & privat takterrasse.",KALAND & PARTNERS NYBYGG AS,"Damsgårdsveien 61, Bergen",148,16500000,16913842,3825,Eier (Selveier),Leilighet,3,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=311661496
Innflytningsklar 2- roms leilighet med sentrumsnær beliggenhet | Sjøutsikt | Garasjeplass | Gangavstand til BI og UIB,Himla Eiendomsmegling,"Frydenbølien 12, Bergen",60,2690000,2779870,4399,Andel,Leilighet,1,"27. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=306463813
"Sentrum | Strøken 3-roms bygårdsleil. Høy stand. & stor terrasse! Blindgate. Bygg oppgradert i 2011, tak 2017. Sentralt!",EIE eiendomsmegling Bergen Sentrum,"Nedre Gartnergaten 3, Bergen",44,3790000,3798010,3496,Andel,Leilighet,2,"27. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=307215665
"Sydneshaugen - Strøken og lekker bygårdsleilighet med optimal planløsning og moderne kvaliteter! Kort vei til UIB, BI, HVL og NHH!",Aktiv Bergen Sentrum,"Sydneskleiven 28, Bergen",64,4590000,4717792,1320,Eier (Selveier),Leilighet,2,"31. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311637524
"Flott 3-roms leilighet på populære Kronstad | Vestvendt altan på 8,5 m² | Peis| Bybane like ved| HVL like utenfor døren!",Eiendomsmegler Vest Landås,"St Halvards vei 27a, Bergen",58,3440000,3699766,3944,Andel,Leilighet,2,"26. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=306580414
Nær Danmarksplass - Lekker hjørneleilighet over to plan med utsikt og koselig altan! Varmepumpe og peis. Bad fra 2020 - Kort vei til sentrum,Nordvik Bergen Vest,"Hordagaten 48, Bergen",67,2890000,2973492,1000,Eier (Selveier),Leilighet,1,"27. juli, kl 15:15",https://www.finn.no/realestate/homes/ad.html?finnkode=311283568
"Møhlenpris - Herlig bygårdsleilighet i 3. etg m/ store vindusflater, god takhøyde & utmerket planløsning. Like v/ BI & UIB. Bør sees!",W Eiendomsmegling Bergen Sentrum As,"Wessels gate 1C, Bergen",41,3590000,3690607,779,Eier (Selveier),Leilighet,1,"27. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311164632
Årstad - Pen 4-roms selveierleilighet med gangavstand til Haraldsplass og Haukeland|Egen utleiedel og mulighet for parkering.,Krogsveen Bergen Sentrum,"Storhaugen 5A, Bergen",73,3990000,4582479,6526,Eier (Selveier),Leilighet,2,"27. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=299788482
"Gyldenpris - Lys og trivelig studioleilighet - Kort vei til ""alt"" - Ingen dok.avgift - Perfekt for studenter/førstegangskjøpere!",Kaland & Partners - Vestkanten Eiendomsmegling AS,"Lien 28, Bergen",22,1490000,1876032,4813,Andel,Leilighet,0,"27. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311619639
Bygårdsdrømmen - Strøken og nyoppusset 3/4-roms leilighet på vakre Møhlenpris. To bad.,Proaktiv Småstrandgaten,"Konsul Børs' gate 15A, Bergen",63,4400000,4879785,6676,Aksje,Leilighet,3,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311611284
Kronstad - Flott 2-roms leilighet rett ved bybanestopp og HVL. Vestvendt terrasse | Ingen forkjøpsrett | Lave omkostninger.,Eiendomsmegler Vest Fana,"Inndalsveien 9, Bergen",29,2490000,2498160,2984,Andel,Leilighet,1,"26. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311555230
"Flott 3-roms leilighet med attraktiv beliggenhet i Sandviken. Gåavstand til ""alt"" du måtte trenge av servicetilbud mm.",EiendomsMegler 1 Bergen,"Nils Hertzbergs gate 3, Bergen",56,3700000,3793670,0,Eier (Selveier),Leilighet,2,"31. juli, kl 15:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311610285
Kronstad - Stilren 2-roms leilighet med god arealutnyttelse og utgang til vestvendt balkong med flott utsikt og gode solforhold,Krogsveen Bergen Sentrum,"Hunstadsvingen 7B, Bergen",32,2690000,2758420,600,Eier (Selveier),Leilighet,1,"27. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311570854
"Danmarksplass - Flott, 5-roms leilighet med sentrumsnær beliggenhet, store gode rom, innglasset balkong og felles takterrasse på 175 kvm",EiendomsMegler 1 Bergen,"Solheimsgaten 60, Bergen",106,2900000,3752925,11543,Andel,Leilighet,4,"26. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311517386
Stor og flott 3-roms leilighet med god planløsning og mulighet for garasjeplass! Attraktiv og sentral beliggenhet!,Aktiv Bergen Sentrum,"Nordnesveien 37, Bergen",64,3890000,4451549,6873,Andel,Leilighet,2,"27. juli, kl 16:30",https://www.finn.no/realestate/homes/ad.html?finnkode=305571225
"Laksevåg I Moderne 3-roms med stort bodareal! Stor balkong med sjøutsikt. Sentral beliggenhet, med busstopp like utenfor",EIE eiendomsmegling Bergen Vest,"Jacob Larsens vei 4, Laksevåg",59,2890000,2916410,4400,Andel,Leilighet,2,"26. juli, kl 15:15",https://www.finn.no/realestate/homes/ad.html?finnkode=311576365
Skansen - Lekker leilighet med god standard og nydelig utsikt. Smart planløsning og meget attraktiv og sentral beliggenhet!,Samsolgt by DNB Eiendom,"Claus Fastings gate 29, Bergen",53,3450000,3537592,580,Eier (Selveier),Leilighet,2,"26. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311506865
Sentrum - Idyllisk beliggenhet - Lekker leilighet over to plan midt i smørøyet av Bergen sentrum!,Aktiv Bergen Sentrum,"Badstustredet 7, Bergen",61,4990000,5131792,0,Eier (Selveier),Leilighet,4,"30. juli, kl 13:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311423785
"Nordnes - Unik og stilfull 2-roms over to etasjer - Takhøyde på 3,8m på det høyeste - God standard - Nærhet til alt - Må sees!",Kaland & Partners - Torgallmenningen Eiendomsmegling,"Klostergaten 16, Bergen",58,4250000,4367492,210,Eier (Selveier),Leilighet,1,"27. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311566731
Sydnes/Sentrum - Nydelig toppleilighet med gode kvaliteter over to plan. Boligen er vesentlig oppgradert i 2018. Herlig balkong!,Nordvik Bergen,"Dokken 8, Bergen",76,5490000,5638492,1730,Eier (Selveier),Leilighet,3,"26. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=306555005
Damsgård - Moderne 2-roms selveierleilighet oppført i 2017 | Altan og takterrasse | Heis | Lave fellesutgifter | Sentral plassering,PrivatMegleren Vikebø & Jørgensen,"Damsgårdsveien 42, Bergen",39,3490000,3590844,1185,Eier (Selveier),Leilighet,1,"26. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311542791
Sentrum - Moderne 2-roms leilighet med attraktiv beliggenhet midt i sentrum |Ingen fellesgjeld / dok. avgift. Heis i bygget.,Krogsveen Bergen Sentrum,"Markeveien 4A, Bergen",41,3120000,3120960,2228,Andel,Leilighet,1,"26. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=307312538
Møhlenpris - Flott 3-roms selveierleilighet | toppetasje | Sentral plassering i rolig gate | Flere store vinduer.,PrivatMegleren Vikebø & Jørgensen,"Welhavens gate 56, Bergen",58,3990000,4100392,2362,Eier (Selveier),Leilighet,2,"27. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=307398625
"Årstad | Lekker 3-roms i 2.etg med attraktiv beliggenhet i nydelig gate, nytt tak i 2022, balkong og gode solforhold!",EIE eiendomsmegling Bergen Sentrum,"Nordbø 9, Bergen",60,3690000,3698010,2520,Andel,Leilighet,2,"27. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311538451
Bergen sentrum - Pen studioleilighet midt i Bergen sentrum! Perfekt for studenter eller som pendlerbolig! Solrik takterrasse.,EiendomsMegler 1 Bergen,"Christian Michelsens gate 2B, Bergen",13,1890000,2011488,1270,Eier (Selveier),Leilighet,0,"26. juli, kl 16:00",https://www.finn.no/realestate/homes/ad.html?finnkode=306594793
"Nordnes - Lekker og stilren enebolig, smarte løsninger og  herlig beliggenhet. Mulighet for gode leieinntekter-sentralt på Nøstet!",Aktiv Bergen Sentrum,"St. Hansstredet 8, Bergen",81,5450000,5603292,0,Eier (Selveier),Enebolig,3,"30. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=295707344
Sjarmerende 4-roms leilighet med gjennomgående god kvalitet og kort vei til alt!,Aktiv Bergen Sentrum,"Strømgaten 51, Bergen",82,6990000,7177792,0,Eier (Selveier),Leilighet,3,"27. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=307415180
Kronstad - Nydelig leilighet med sentral beliggenhet og god standard. Flotte kvaliteter pusset opp i 2016. Kort vei til bybane.,Nordvik Bergen,"Kronstadveien 14, Bergen",38,2750000,2829992,1800,Eier (Selveier),Leilighet,1,"26. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=307179409
"Lei av å leie? Studentperfekt bygårdsleilighet, med hems, like ved BI og Nygårdshøyden. Klar for overtakelse.",Proaktiv Sandviken,"Borgermester Platous gate 9, Bergen",20,1990000,2049392,2400,Eier (Selveier),Leilighet,0,"25. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311510786
"Solheim - Solheim | 3-roms leilighet med høy standard oppgradert i 2021 og 2022 | Stor, solrik balkong | Mye inkl. i fellesutg.!",Eiendomsmegler Vest Bergen Sentrum,"Solheims tverrgate 28, Bergen",87,3990000,4093848,5267,Andel,Leilighet,2,"30. juli, kl 15:15",https://www.finn.no/realestate/homes/ad.html?finnkode=306516826
"Sentrum | Arealeffektiv 2-roms leilighet | Kort vei til ""alt"" | IN-ordning | Mye inkl. i fellesutg.!",Eiendomsmegler Vest Bergen Sentrum,"Sigurds gate 28, Bergen",38,2600000,3401281,9079,Andel,Leilighet,1,"27. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=306706460
Pen 2-roms leilighet med sentral beliggenhet på Damsgård/Laksevåg. Nært studiesteder.,Eiendomsmegler Vest Bergen Sentrum,"Carl Konows gate 12, Laksevåg",31,2400000,2471670,0,Eier (Selveier),Leilighet,1,"27. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311405511
Sandviken - Utsiktsleilighet i et av Bergens fineste nabolag! Felles terrasse med gode solforhold. Enkel tilkomst til studiesteder!,Nordvik Bergen,"Prahls vei 40, Bergen",50,3390000,3487492,1500,Eier (Selveier),Leilighet,2,"27. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=301911571
"Nordnes - Lys og innholdsrik leilighet på vakre Nordnes | 2 soverom | Kort vei til ""alt"" Bergen sentrum har å tilby.",DNB Eiendom AS,"Strangehagen 20, Bergen",44,3600000,3895941,2986,Eier (Selveier),Leilighet,2,"28. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=310656436
Sandviken - Meget lys og tiltalende leilighet i nydelig hjørnebygård i herlige Sandviken | 2 soverom | Flott felles bakgårdshage,DNB Eiendom AS,"Kirkegaten 43, Bergen",40,3100000,3285111,1957,Eier (Selveier),Leilighet,2,"27. juli, kl 15:30",https://www.finn.no/realestate/homes/ad.html?finnkode=309879801
"Bergen sentrum - Flott, innholdsrik og godt innredet 3-roms i 3. etasje med balkong. 1 min til busstopp. Gangavstand til sentrumskjernen.",Nordvik Bergen,"Bredalsmarken 12, Bergen",66,3300000,3364201,4753,Andel,Leilighet,2,"27. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311421224
Nøstet - Student eller førstegangskjøper? Gå til sentrumskjernen/UIB/BI/trening/butikk på få minutter - Lys og moderne,Kaland & Partners - Torgallmenningen Eiendomsmegling,"St. Hansstredet 26, Bergen",24,1890000,2285136,5667,Andel,Leilighet,0,"26. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=305581693
Kuben trinn 2 | 4 ledige leiligheter i sjøkanten i Damsgårdssundet | Takterrasse | Byggingen er godt i gang,KALAND & PARTNERS NYBYGG AS,"Damsgårdsveien 91, Bergen",116,11500000,11512662,0,Eier (Selveier),Leilighet,0,Visning etter avtale,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=270267499&geoLocationName=Bergen&lat=60.3894&lon=5.3300&radius=3000&sort=PUBLISHED_DESC
Perfekt førstegangsleilighet. Arealeffektiv studioleilighet m/sovealkove. 12 min gange til Torgallmenningen,Nordvik Bergen,"Sparresgaten 2, Bergen",25,1950000,2000092,800,Eier (Selveier),Leilighet,0,0,https://www.finn.no/realestate/homes/ad.html?finnkode=311163227
Solheim - Strøken leilighet med utrolig utsikt over Bergen. Nydelig innglasset balkong. Lave omkostninger og ingen forkjøpsrett.,Nordvik Bergen,"Skoglien 33, Bergen",36,1950000,2628111,5447,Andel,Leilighet,0,Visning i dag kl 14:00,https://www.finn.no/realestate/homes/ad.html?finnkode=307427492
"Kalfaret | Flott 3-roms hjørneleilighet med solrik balkong på 8,7 kvm og garasjeplass. Gangavstand til sentrum og bybane",EIE eiendomsmegling Bergen Sør,"Kalfarveien 62, Bergen",77,4790000,4828410,4308,Andel,Leilighet,2,"26. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311410520
Nøstet - Nøstet | Flott selveierleilighet med originale detaljer | Nytt kjøkken i 2021,Eiendomsmegler Vest Bergen Sentrum,"Munkelivsgaten 9, Bergen",37,2990000,3074220,1400,Eier (Selveier),Leilighet,1,"26. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=305748416
"Eie istedenfor leie? Koselig studioleilighet supersentralt like ved bybane, høyskolen og butikk - Varmtvann inkl.",Kaland & Partners - Torgallmenningen Eiendomsmegling,"Bjørnsons gate 28B, Bergen",15,890000,1413907,5281,Aksje,Andre,0,"27. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311387345
"Møllendal | Flott leilighet med sentral beliggenhet, balkong, felles takterrasse, mulighet for parkering, IN- ordning!",EIE eiendomsmegling Bergen Sentrum,"Møllendalsveien 4, Bergen",42,2190000,2750794,6591,Andel,Leilighet,0,"26. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311382944
Sentrum | Lekker 4-roms toppleilighet med store rom i flott og sentral bygård. Uinnredet loft på 20kvm m/ potensial.,EIE eiendomsmegling Bergen Sør,"Rosenbergsgaten 5, Bergen",82,5490000,5637870,1989,Eier (Selveier),Leilighet,3,"25. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311377206
"Nordnes - Supersentral, arealeffektiv og lys 2-roms selveier midt i by´n!", Propr,"Strangebakken 9B, Bergen",20,2500000,2571570,351,Eier (Selveier),Leilighet,1,"25. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311374741
Solheimsviken/Damsgårdssundet - Eierleilighet med nydelig utsikt mot Bergen by og Byfjellene. Stor uteplass og sentral beliggenhet i Solheimsviken,DNB Eiendom AS,"Nordre Skogveien 64, Bergen",38,2090000,2143592,300,Eier (Selveier),Leilighet,1,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=305707070
"Hvorfor leie når man kan eie? Super hybeleilighet på Nordnes. Kort vei til byens studiesteder. 15,5 kvm. gulvflateareal.",Proaktiv Småstrandgaten,"Strandgaten 220, Bergen",12,950000,1134964,2151,Andel,Leilighet,0,"24. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311372077
"Solheimsviken - Nydelig 4-roms toppleilighet med sentrumsnær beliggenhet. Balkong, bad fra 2020 og lave bokostnader. 1 min til buss",Nordvik Bergen,"Vikens gate 22, Bergen",70,3590000,3691492,1366,Eier (Selveier),Leilighet,3,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311179584
"Danmarksplass - Flott leilighet med bra standard, god planløsning og balkong! Gangavstand til studieinstitusjoner og Bergen sentrum.",Kaland & Partners - Torgallmenningen Eiendomsmegling,"Løbergsveien 4, Bergen",44,2740000,2896032,4604,Andel,Leilighet,1,"26. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311347188
Nordnes - LEILIGHET MED 2 SOVEROM I YTRE MARKEVEI,Privat,"Ytre Markevei 37 / KLOKKERSMUGET, Bergen",35,2650000,2675000,680,Eier (Selveier),Leilighet,2,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=55177733
"SANDVIKEN / BERGEN SENTRUM - Lekker eierseksjon med god standard og nydelig utsikt. Tilbaketrukket beliggenhet. Nytt tak, malt fasade 2017.",W Eiendomsmegling Bergen Sentrum As,"Nye Sandviksveien 56C, Bergen",47,2990000,3256316,2273,Eier (Selveier),Leilighet,1,"24. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311123529
"Herlig 2-roms eierleilighet i vakre omgivelser. Gangavstand til ""alt"" - Perfekt for førstegangskjøpere og studenter!",Kaland & Partners - Vestkanten Eiendomsmegling AS,"Ladegårdsveiten 18, Bergen",44,2890000,2973492,1400,Eier (Selveier),Leilighet,1,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311324975
Solheim | Flott 4-roms leilighet med innglasset balkong m. fantastisk utsikt. Varmtvann og sentralvarme ink. i fellesutg,EIE eiendomsmegling Bergen Sentrum,"Solheimslien 14, Bergen",73,2290000,3461240,8819,Andel,Leilighet,3,"24. juli, kl 16:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311324369
Sentral og lekker leilighet med to soverom i Bergen sentrum | Bygget og leiligheten er totalrenovert 2023 |,Eiendomsmegler Vest,"Håkonsgaten 20, Bergen",48,4250000,4367920,0,Eier (Selveier),Leilighet,2,"25. juli, kl 16:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311310537
Flott 4-roms leilighet med balkong og attraktiv beliggenhet i Bergen sentrum |Bygg og leiligheten er totalrenovert 2023,Eiendomsmegler Vest,"Håkonsgaten 20, Bergen",59,5450000,5597920,0,Eier (Selveier),Leilighet,3,"25. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311310038
"Sandviken | Lekker 2-roms leilighet i 5.etg med heis, sjøutsikt, balkong, god takhøyde og IN- ordning!",EIE eiendomsmegling Bergen Sentrum,"Sandviksveien 88, Bergen",51,3990000,4021010,3368,Andel,Leilighet,1,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311315406
Bergen sentrum/Nordnes - Utrolig sjarmerende leilighet med funksjonell planløsning. Mye lysinnslipp og fin utsikt. Suveren beliggenhet.,EiendomsMegler 1 Bergen,"Lille Markeveien 27, Bergen",27,2290000,2348420,850,Eier (Selveier),Leilighet,0,"25. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311263975
"Møllendal - Et logistikkmessig eventyr, en svømmetur til sentrum og like ved HUS. Bo ""på"" Bybanen. Heis, balkong og takterrasse.",Proaktiv Småstrandgaten,"Møllendalsveien 68C, Bergen",50,3950000,4058392,1820,Eier (Selveier),Leilighet,1,"24. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311293743
Landås | Herlig og sentral 4-roms med god standard og bra planløsning. Like ved Haukeland sykehus. Parkering og balkong.,EIE eiendomsmegling Bergen Sør,"Vognstølen 1, Bergen",63,3690000,3791270,250,Eier (Selveier),Leilighet,3,"24. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=299718951
Minde - Flott 3-roms hjørneleilighet med fin utsikt og god beliggenhet. Bussholdeplass like ved. Nærhet til studieinstitusjoner.,PrivatMegleren Vikebø & Jørgensen,"Kristian Bings vei 7, Bergen",65,2690000,2781435,4500,Aksje,Leilighet,2,"24. juli, kl 15:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311281052
Villa Høye - Urbant leilighetsprosjekt med spennende og historisk arkitektur på ærverdige Høyegaarden. 6 solgt!,PrivatMegleren Vikebø & Jørgensen Nybygg,"Gyldenprisveien 16, Bergen",113,7700000,7707132,0,Andel,Leilighet,0,"26. juli, kl 14:00",https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=307459500&geoLocationName=Bergen&lat=60.3894&lon=5.3300&radius=3000&page=2&sort=PUBLISHED_DESC
Sandviken | Flott og attraktiv leilighet med solrik balkong! 10 min gåtur til sentrum og turmuligheter like utenfor.,EIE eiendomsmegling Bergen Sør,"Repslagergaten 22, Bergen",41,3390000,3485370,2035,Eier (Selveier),Leilighet,2,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311278883
Nydelig 3-roms sentralt og skjermet i hjertet av vakre Bergen | Privat balkong | Et steinkast unna alle servicetilbud!,Garanti Eiendomsmegling Bergen,"Lille Øvregaten 28B, Bergen",59,3990000,4090920,0,Eier (Selveier),Leilighet,2,"24. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311271301
"Bergen Sentrum - Sjarmerende og arealeffektiv leilighet i et ettertraktet boområde! Innglasset balkong, IN-ordning og felles p-plass",Nordvik Bergen,"Kalfarveien 22, Bergen",35,1900000,2428582,5607,Andel,Leilighet,0,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=304101679
Nøstet | Lekker leilighet i nyere bygg i sentrum - Felles takterrasse og heis - Gjennomgående god standard,EIE nybygg Bergen,"Baneveien 37, Bergen",30,2990000,3073770,1109,Eier (Selveier),Leilighet,0,"24. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311248907
Flott og arealeffektiv 2-roms leilighet med sentral beliggenhet på Nordnes/Nøstet. Gangavstand til bla. BI og UiB.,EiendomsMegler 1 Bergen,"Skottegaten 15, Bergen",37,2290000,2577938,4124,Andel,Leilighet,1,"26. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311247696
Minde - Løvstakken - To sentrale 4-roms toppleiligheter med 2 garasjeplasser hver! Flott utsikt mot Ulriken. Kort vei til nytt bybanestopp,KALAND & PARTNERS NYBYGG AS,"Løbergsveien 95 D-F, Bergen",0,0,0,0,Eier (Selveier),Leilighet,3,0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=248772561&geoLocationName=Bergen&lat=60.3894&lon=5.3300&radius=3000&page=2&sort=PUBLISHED_DESC
"Kalfaret - Nydelig 2-roms leilighet i nærheten av alt | Balkong, heis og fast garasjeplass | Bybanen og Bergen sentrum like ved.",Kaland & Partners - Torgallmenningen Eiendomsmegling,"Kalfarveien 68, Bergen",52,3490000,3758032,4962,Andel,Leilighet,1,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311244465
Sentrum | Lekker 3-roms leilighet med balkong og god planløsning. Heis i bygget og kort vei til alt!,EIE eiendomsmegling Bergen Sentrum,"Lars Hilles gate 11, Bergen",62,3990000,4100370,3317,Eier (Selveier),Leilighet,2,Visning i dag kl 10:30,https://www.finn.no/realestate/homes/ad.html?finnkode=311202857
